timestamp,firewall_agent_cpu,firewall_agent_mem,core_cpu,core_mem,reverse_proxy_agent_cpu,reverse_proxy_agent_mem
1752230211,1.38%,68.54MiB,1.66%,61.52MiB,51.60%,77.44MiB
1752230214,0.11%,68.54MiB,0.13%,61.52MiB,24.40%,77.44MiB
1752230216,0.11%,68.54MiB,0.10%,61.52MiB,16.40%,77.44MiB
1752230218,0.10%,68.54MiB,0.10%,61.52MiB,12.20%,77.44MiB
1752230220,0.12%,68.54MiB,0.12%,61.52MiB,9.70%,77.44MiB
1752230222,0.15%,68.54MiB,0.15%,61.52MiB,8.00%,77.44MiB
1752230224,0.11%,68.54MiB,0.13%,61.52MiB,6.90%,77.44MiB
1752230226,0.09%,68.54MiB,0.13%,61.52MiB,6.00%,77.44MiB
1752230228,0.11%,68.54MiB,0.10%,61.52MiB,5.40%,77.44MiB
1752230230,0.10%,68.54MiB,0.10%,61.52MiB,4.80%,77.44MiB
1752230232,0.12%,68.54MiB,0.18%,61.52MiB,4.40%,77.44MiB
1752230234,0.14%,68.54MiB,0.14%,61.52MiB,4.00%,77.44MiB
1752230236,0.11%,68.54MiB,0.10%,61.52MiB,3.70%,77.44MiB
1752230238,0.10%,68.54MiB,0.14%,61.52MiB,3.50%,77.44MiB
1752230240,0.14%,68.54MiB,0.13%,61.52MiB,3.20%,77.44MiB
1752230242,0.12%,68.54MiB,0.10%,61.52MiB,3.00%,77.44MiB
1752230244,0.11%,68.54MiB,0.10%,61.52MiB,2.80%,77.44MiB
1752230246,0.18%,68.54MiB,0.14%,61.52MiB,2.70%,77.44MiB
1752230248,0.12%,68.54MiB,0.10%,61.52MiB,2.60%,77.44MiB
1752230250,0.14%,68.54MiB,0.15%,61.52MiB,2.40%,77.44MiB
1752230252,0.13%,68.54MiB,0.11%,61.52MiB,2.30%,77.44MiB
1752230254,0.11%,68.54MiB,0.10%,61.52MiB,2.20%,77.44MiB
1752230256,0.20%,68.54MiB,0.13%,61.52MiB,2.10%,77.44MiB
1752230258,0.12%,68.54MiB,0.10%,61.52MiB,2.00%,77.44MiB
1752230260,0.12%,68.54MiB,0.10%,61.52MiB,1.90%,77.44MiB
1752230262,0.13%,68.54MiB,0.10%,61.52MiB,1.90%,77.44MiB
1752230264,0.18%,68.54MiB,0.14%,61.52MiB,1.80%,77.44MiB
1752230266,0.09%,68.54MiB,0.18%,61.52MiB,1.70%,77.44MiB
1752230268,0.12%,68.54MiB,0.11%,61.52MiB,1.70%,77.44MiB
1752230270,0.11%,68.54MiB,0.17%,61.51MiB,1.60%,77.44MiB
1752230272,0.10%,68.54MiB,0.09%,61.51MiB,1.60%,77.44MiB
1752230274,0.14%,68.54MiB,0.10%,61.51MiB,1.50%,77.44MiB
1752230276,0.12%,68.54MiB,0.11%,61.51MiB,1.50%,77.44MiB
1752230278,0.13%,68.54MiB,0.17%,61.51MiB,1.40%,77.44MiB
1752230280,0.11%,68.54MiB,0.11%,61.51MiB,1.40%,77.44MiB
1752230282,0.10%,68.54MiB,0.09%,61.51MiB,1.40%,77.44MiB
1752230284,0.11%,68.54MiB,0.12%,61.51MiB,1.30%,77.44MiB
1752230286,0.14%,68.54MiB,0.10%,61.51MiB,1.30%,77.44MiB
1752230288,0.12%,68.54MiB,0.09%,61.51MiB,1.30%,77.44MiB
1752230290,0.12%,68.54MiB,0.11%,61.51MiB,1.20%,77.44MiB
1752230292,0.10%,68.54MiB,0.11%,61.51MiB,1.20%,77.44MiB
1752230294,0.11%,68.54MiB,0.14%,61.51MiB,1.20%,77.44MiB
1752230296,0.12%,68.54MiB,0.11%,61.51MiB,1.20%,77.44MiB
1752230298,0.10%,68.54MiB,0.10%,61.51MiB,1.10%,77.44MiB
1752230300,0.10%,68.54MiB,0.10%,61.51MiB,1.10%,77.44MiB
1752230302,0.11%,68.54MiB,0.14%,61.51MiB,1.10%,77.44MiB
1752230304,0.09%,68.54MiB,0.13%,61.51MiB,1.10%,77.44MiB
1752230306,0.16%,68.54MiB,0.14%,61.51MiB,1.00%,77.44MiB
1752230308,0.10%,68.54MiB,0.11%,61.51MiB,1.00%,77.44MiB
1752230310,0.09%,68.54MiB,0.11%,61.51MiB,1.00%,77.44MiB
1752230312,0.10%,68.54MiB,0.11%,61.51MiB,1.00%,77.44MiB
1752230314,0.14%,68.54MiB,0.15%,61.51MiB,1.00%,77.44MiB
1752230316,0.12%,68.54MiB,0.10%,61.51MiB,0.90%,77.44MiB
1752230318,0.11%,68.54MiB,0.11%,61.51MiB,0.90%,77.44MiB
1752230320,0.13%,68.54MiB,0.12%,61.51MiB,0.90%,77.44MiB
1752230322,0.10%,68.54MiB,0.10%,61.51MiB,0.90%,77.44MiB
1752230324,0.19%,68.54MiB,0.12%,61.51MiB,0.90%,77.44MiB
1752230326,0.10%,68.54MiB,0.12%,61.51MiB,0.90%,77.44MiB
1752230328,0.11%,68.54MiB,0.17%,61.51MiB,0.90%,77.44MiB
1752230330,0.11%,68.54MiB,0.10%,61.51MiB,0.80%,77.44MiB
1752230332,0.13%,68.54MiB,0.09%,61.51MiB,0.80%,77.44MiB
1752230334,0.09%,68.54MiB,0.10%,61.51MiB,0.80%,77.44MiB
1752230337,0.11%,68.54MiB,0.13%,61.51MiB,0.80%,77.44MiB
1752230339,0.10%,68.54MiB,0.10%,61.51MiB,0.80%,77.44MiB
1752230341,0.10%,68.54MiB,0.14%,61.51MiB,0.80%,77.44MiB
1752230343,0.12%,68.54MiB,0.09%,61.51MiB,0.80%,77.44MiB
1752230345,0.13%,68.54MiB,0.10%,61.51MiB,0.80%,77.44MiB
1752230347,0.19%,68.54MiB,0.12%,61.51MiB,0.70%,77.44MiB
1752230349,0.16%,68.54MiB,0.13%,61.51MiB,0.70%,77.44MiB
1752230351,0.10%,68.54MiB,0.10%,61.51MiB,0.70%,77.44MiB
1752230353,0.11%,68.54MiB,0.15%,61.51MiB,0.70%,77.44MiB
1752230355,0.11%,68.54MiB,0.12%,61.51MiB,0.70%,77.44MiB
1752230357,0.10%,68.54MiB,0.10%,61.51MiB,0.70%,77.44MiB
1752230359,0.13%,68.54MiB,0.13%,61.51MiB,0.70%,77.44MiB
1752230361,0.11%,68.54MiB,0.11%,61.51MiB,0.70%,77.44MiB
1752230363,0.10%,68.54MiB,0.10%,61.51MiB,0.70%,77.44MiB
1752230365,0.12%,68.54MiB,0.09%,61.51MiB,0.70%,77.44MiB
1752230367,0.15%,68.54MiB,0.12%,61.51MiB,0.70%,77.44MiB
1752230369,0.13%,68.54MiB,0.11%,61.51MiB,0.60%,77.44MiB
1752230371,0.09%,68.54MiB,0.11%,61.51MiB,0.60%,77.44MiB
1752230373,0.13%,68.54MiB,0.13%,61.51MiB,0.60%,77.44MiB
1752230375,0.12%,68.54MiB,0.09%,61.51MiB,0.60%,77.44MiB
1752230377,0.10%,68.54MiB,0.11%,61.51MiB,0.60%,77.44MiB
1752230379,0.12%,68.54MiB,0.15%,61.51MiB,0.60%,77.44MiB
1752230381,0.11%,68.54MiB,0.15%,61.51MiB,0.60%,77.44MiB
1752230383,0.09%,68.54MiB,0.11%,61.51MiB,0.60%,77.44MiB
1752230385,0.10%,68.54MiB,0.10%,61.51MiB,0.60%,77.44MiB
1752230387,0.15%,68.54MiB,0.12%,61.51MiB,0.60%,77.44MiB
1752230389,0.10%,68.54MiB,0.11%,61.51MiB,0.60%,77.44MiB
1752230391,0.10%,68.54MiB,0.12%,61.51MiB,0.60%,77.44MiB
1752230393,0.14%,68.54MiB,0.12%,61.51MiB,0.60%,77.44MiB
1752230395,0.09%,68.54MiB,0.10%,61.51MiB,0.60%,77.44MiB
1752230397,0.13%,68.54MiB,0.11%,61.51MiB,0.60%,77.44MiB
1752230399,0.10%,68.54MiB,0.13%,61.51MiB,0.60%,77.44MiB
1752230401,0.10%,68.54MiB,0.11%,61.51MiB,0.50%,77.44MiB
1752230403,0.11%,68.54MiB,0.12%,61.51MiB,0.50%,77.44MiB
1752230405,0.10%,68.54MiB,0.12%,61.51MiB,0.50%,77.44MiB
1752230407,0.15%,68.54MiB,0.11%,61.51MiB,0.50%,77.44MiB
1752230409,0.15%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230411,0.13%,68.54MiB,0.16%,61.51MiB,0.50%,77.44MiB
1752230413,0.14%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230415,0.13%,68.54MiB,0.12%,61.51MiB,0.50%,77.44MiB
1752230417,0.13%,68.54MiB,0.11%,61.51MiB,0.50%,77.44MiB
1752230419,0.12%,68.54MiB,0.13%,61.51MiB,0.50%,77.44MiB
1752230421,0.13%,68.54MiB,0.10%,61.51MiB,0.50%,77.44MiB
1752230423,0.14%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230425,0.09%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230427,0.10%,68.54MiB,0.10%,61.51MiB,0.50%,77.44MiB
1752230429,0.12%,68.54MiB,0.12%,61.51MiB,0.50%,77.44MiB
1752230431,0.13%,68.54MiB,0.11%,61.51MiB,0.50%,77.44MiB
1752230433,0.10%,68.54MiB,0.10%,61.51MiB,0.50%,77.44MiB
1752230435,0.11%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230437,0.15%,68.54MiB,0.15%,61.51MiB,0.50%,77.44MiB
1752230439,0.18%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230441,0.11%,68.54MiB,0.10%,61.51MiB,0.50%,77.44MiB
1752230443,0.18%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230445,0.09%,68.54MiB,0.10%,61.51MiB,0.50%,77.44MiB
1752230447,0.12%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230449,0.10%,68.54MiB,0.09%,61.51MiB,0.50%,77.44MiB
1752230451,0.09%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230453,0.11%,68.54MiB,0.13%,61.51MiB,0.40%,77.44MiB
1752230455,0.15%,68.54MiB,0.17%,61.51MiB,0.40%,77.44MiB
1752230457,0.11%,68.54MiB,0.12%,61.51MiB,0.40%,77.44MiB
1752230459,0.11%,68.54MiB,0.12%,61.51MiB,0.40%,77.44MiB
1752230461,0.14%,68.54MiB,0.18%,61.51MiB,0.40%,77.44MiB
1752230463,0.12%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230465,0.09%,68.54MiB,0.14%,61.51MiB,0.40%,77.44MiB
1752230467,0.12%,68.54MiB,0.10%,61.51MiB,0.40%,77.44MiB
1752230469,0.11%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230471,0.12%,68.54MiB,0.10%,61.51MiB,0.40%,77.44MiB
1752230473,0.10%,68.54MiB,0.12%,61.51MiB,0.40%,77.44MiB
1752230475,0.12%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230477,0.09%,68.54MiB,0.14%,61.51MiB,0.40%,77.44MiB
1752230479,0.13%,68.54MiB,0.15%,61.51MiB,0.40%,77.44MiB
1752230481,0.09%,68.54MiB,0.10%,61.51MiB,0.40%,77.44MiB
1752230483,0.09%,68.54MiB,0.10%,61.51MiB,0.40%,77.44MiB
1752230485,0.10%,68.54MiB,0.10%,61.51MiB,0.40%,77.44MiB
1752230487,0.09%,68.54MiB,0.09%,61.51MiB,0.40%,77.44MiB
1752230489,0.11%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230491,0.10%,68.54MiB,0.12%,61.51MiB,0.40%,77.44MiB
1752230493,0.14%,68.54MiB,0.12%,61.51MiB,0.40%,77.44MiB
1752230495,0.10%,68.54MiB,0.14%,61.51MiB,0.40%,77.44MiB
1752230497,0.10%,68.54MiB,0.15%,61.51MiB,0.40%,77.44MiB
1752230499,0.17%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230501,0.10%,68.54MiB,0.13%,61.51MiB,0.40%,77.44MiB
1752230503,0.12%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230506,0.12%,68.54MiB,0.12%,61.51MiB,0.40%,77.44MiB
1752230508,0.11%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230510,0.10%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230512,0.13%,68.54MiB,0.12%,61.51MiB,0.40%,77.44MiB
1752230514,0.10%,68.54MiB,0.10%,61.51MiB,0.40%,77.44MiB
1752230516,0.15%,68.54MiB,0.13%,61.51MiB,0.40%,77.44MiB
1752230518,0.12%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230520,0.10%,68.54MiB,0.10%,61.51MiB,0.40%,77.44MiB
1752230522,0.10%,68.54MiB,0.12%,61.51MiB,0.40%,77.44MiB
1752230524,0.11%,68.54MiB,0.10%,61.51MiB,0.40%,77.44MiB
1752230526,0.09%,68.54MiB,0.09%,61.51MiB,0.40%,77.44MiB
1752230528,0.11%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230530,0.12%,68.54MiB,0.11%,61.51MiB,0.40%,77.44MiB
1752230532,0.14%,68.54MiB,0.13%,61.51MiB,0.30%,77.44MiB
1752230534,0.11%,68.54MiB,0.09%,61.51MiB,0.30%,77.44MiB
1752230536,0.11%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230538,0.10%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230540,0.11%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230542,0.11%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230544,0.09%,68.54MiB,0.13%,61.51MiB,0.30%,77.44MiB
1752230546,0.11%,68.54MiB,0.16%,61.51MiB,0.30%,77.44MiB
1752230548,0.09%,68.54MiB,0.09%,61.51MiB,0.30%,77.44MiB
1752230550,0.10%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230552,0.12%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230554,0.10%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230556,0.12%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230558,0.13%,68.54MiB,0.16%,61.51MiB,0.30%,77.44MiB
1752230560,0.11%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230562,0.11%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230564,0.10%,68.54MiB,0.14%,61.51MiB,0.30%,77.44MiB
1752230566,0.13%,68.54MiB,0.13%,61.51MiB,0.30%,77.44MiB
1752230568,0.10%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230570,0.12%,68.54MiB,0.14%,61.51MiB,0.30%,77.44MiB
1752230572,0.11%,68.54MiB,0.09%,61.51MiB,0.30%,77.44MiB
1752230574,0.11%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230576,0.11%,68.54MiB,0.12%,61.51MiB,0.30%,77.44MiB
1752230578,0.11%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230580,0.17%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230582,0.16%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230584,0.14%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230586,0.14%,68.54MiB,0.14%,61.51MiB,0.30%,77.44MiB
1752230588,0.12%,68.54MiB,0.12%,61.51MiB,0.30%,77.44MiB
1752230590,0.10%,68.54MiB,0.14%,61.51MiB,0.30%,77.44MiB
1752230592,0.14%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230594,0.11%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230596,0.14%,68.54MiB,0.12%,61.51MiB,0.30%,77.44MiB
1752230598,0.10%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230600,0.11%,68.54MiB,0.18%,61.51MiB,0.30%,77.44MiB
1752230602,0.20%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230604,0.10%,68.54MiB,0.09%,61.51MiB,0.30%,77.44MiB
1752230606,0.17%,68.54MiB,0.18%,61.51MiB,0.30%,77.44MiB
1752230608,0.09%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230610,0.10%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230612,0.12%,68.54MiB,0.12%,61.51MiB,0.30%,77.44MiB
1752230614,0.10%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230616,0.10%,68.54MiB,0.14%,61.51MiB,0.30%,77.44MiB
1752230618,0.10%,68.54MiB,0.12%,61.51MiB,0.30%,77.44MiB
1752230620,0.12%,68.54MiB,0.12%,61.51MiB,0.30%,77.44MiB
1752230622,0.12%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230624,0.11%,68.54MiB,0.14%,61.51MiB,0.30%,77.44MiB
1752230626,0.12%,68.54MiB,0.13%,61.51MiB,0.30%,77.44MiB
1752230628,0.10%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230630,0.15%,68.54MiB,0.09%,61.51MiB,0.30%,77.44MiB
1752230632,0.10%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230634,0.09%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230636,0.09%,68.54MiB,0.09%,61.51MiB,0.30%,77.44MiB
1752230638,0.10%,68.54MiB,0.10%,61.51MiB,0.30%,77.44MiB
1752230640,0.10%,68.54MiB,0.12%,61.51MiB,0.30%,77.44MiB
1752230642,0.12%,68.54MiB,0.13%,61.51MiB,0.30%,77.44MiB
1752230644,0.14%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230646,0.11%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230648,0.12%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
1752230650,0.14%,68.54MiB,0.11%,61.51MiB,0.30%,77.44MiB
